"X7_CAMPO","X7_SEQUENC","X7_REGRA","X7_CDOMIN","X7_TIPO","X7_SEEK","X7_ALIAS","X7_ORDEM","X7_CHAVE","X7_CONDIC","X7_PROPRI"
"E1_VALOR","006","(m->e1_vlcruz*m->e1_comis3/100)*(SA3->A3_ALEMISS/100)","E1_VALCOM3","P","N","","0","","!EMPTY(M->E1_VEND3).AND. INCLUI","S"
"E1_VALOR","007","SA3->A3_ALEMISS","E1_VALCOM4","P","S","SA3","1","xFilial(""SA3"")+m->E1_VEND4","!EMPTY(M->E1_VEND4) .AND. INCLUI","S"
"E1_VALOR","008","(M->E1_VLCRUZ*M->E1_COMIS4/100)*(SA3->A3_ALEMISS/100)","E1_VALCOM4","P","N","","0","","!EMPTY(M->E1_VEND4) .AND. INCLUI","S"
"E1_VALOR","009","SA3->A3_ALEMISS","E1_VALCOM5","P","S","SA3","1","xFilial(""SA3"")+M->E1_VEND5","!EMPTY(M->E1_VEND5) .AND. INCLUI","S"
"E1_VALOR","010","(M->E1_VLCRUZ*M->E1_COMIS5/100)*(SA3->A3_ALEMISS/100)","E1_VALCOM5","P","N","","0","","!EMPTY(M->E1_VEND5) .AND. INCLUI","S"
"E1_VEND1","001","sa3->a3_comis","E1_COMIS1","P","S","SA3","1","xfilial(""SA3"")+m->e1_vend1","","S"
"E1_VEND1","002","(M->E1_VLCRUZ*M->E1_COMIS1/100)*(SA3->A3_ALEMISS/100)","E1_VALCOM1","P","N","","0","","INCLUI","S"
"E1_VEND2","001","SA3->A3_COMIS","E1_COMIS2","P","S","SA3","1","XFILIAL(""SA3"")+M->E1_VEND2","","S"
"E1_VEND2","002","(M->E1_VLCRUZ*M->E1_COMIS2/100)*(SA3->A3_ALEMISS/100)","E1_VALCOM2","P","N","","0","","INCLUI","S"
"E1_VEND3","001","SA3->A3_COMIS","E1_COMIS3","P","S","SA3","1","XFILIAL(""SA3"")+M->E1_VEND3","","S"
"E1_VEND3","002","(M->E1_VLCRUZ*M->E1_COMIS3/100)*(SA3->A3_ALEMISS/100)","E1_VALCOM3","P","N","","0","","INCLUI","S"
"E1_VEND4","001","SA3->A3_COMIS","E1_COMIS4","P","S","SA3","1","XFILIAL(""SA3"")+M->E1_VEND4","","S"
"E1_VEND4","002","(M->E1_VLCRUZ*M->E1_COMIS4/100)*(SA3->A3_ALEMISS/100)","E1_VALCOM4","P","N","","0","","INCLUI","S"
"E1_VEND5","001","SA3->A3_COMIS","E1_COMIS5","P","S","SA3","1","XFILIAL(""SA3"")+M->E1_VEND5","","S"
"E1_VEND5","002","(M->E1_VLCRUZ*M->E1_COMIS5/100)*(SA3->A3_ALEMISS/100)","E1_VALCOM5","P","N","","0","","INCLUI","S"
"E2_FORNECE","001","SA2->A2_NREDUZ","E2_NOMFOR","P","N","","0","","","S"
"E2_FORNECE","002","SA2->A2_LOJA","E2_LOJA","P","N","","0","","","S"
"E2_LOJA","001","SA2->A2_NREDUZ","E2_NOMFOR","P","S","SA2","1","XFILIAL(""SA2"")+M->E2_FORNECE+M->E2_LOJA","!EMPTY(M->E2_LOJA)","S"
"E2_NATUREZ","001","SED->ED_CONTA","E2_CONTAD","P","S","SED","1","XFILIAL(""SED"")+M->E2_NATUREZ","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"E2_TXMOEDA","001","xMoeda(M->E2_VALOR,M->E2_MOEDA,1,M->E2_EMISSAO,,M->E2_TXMOEDA)","E2_VLCRUZ","P","N","","0","","","S"
"E5_AGENCIA","001","SA6->A6_CONTA","E5_CREDITO","P","S","SA6","1","XFILIAL(""SA6"")+M->E5_BANCO+M->E5_AGENCIA","GETNEWPAR(""MV_SIGAGSP"",""0"")==""1""","S"
"E5_BANCO","001","SA6->A6_CONTA","E5_CREDITO","P","S","SA6","1","XFILIAL(""SA6"")+M->E5_BANCO","GETNEWPAR(""MV_SIGAGSP"",""0"")==""1""","S"
"E5_CONTA","001","SA6->A6_CONTA","E5_CREDITO","P","S","SA6","1","XFILIAL(""SA6"")+M->E5_BANCO+M->E5_AGENCIA+M->E5_CONTA","GETNEWPAR(""MV_SIGAGSP"",""0"")==""1""","S"
"E5_EDTPMS","001","SPACE(LEN(SE5->E5_TASKPMS))","E5_TASKPMS","P","N","","0","","","S"
"E5_NATUREZ","001","SED->ED_CONTA","E5_DEBITO","P","S","SED","1","XFILIAL(""SED"")+M->E5_NATUREZ","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"E5_PROJPMS","001","SPACE(LEN(SE5->E5_EDTPMS))","E5_EDTPMS","P","N","","0","","","S"
"E5_PROJPMS","002","SPACE(LEN(SE5->E5_TASKPMS))","E5_TASKPMS","P","N","","0","","","S"
"E5_TASKPMS","001","SPACE(LEN(SE5->E5_EDTPMS))","E5_EDTPMS","P","N","","0","","","S"
"ED0_IMPORT","001","E_Field(""ED0_IMPORT"",""YT_NOME"",""G"")","ED0_DESCIM","P","N","","0","","","S"
"ED0_TIPOAC","001","X5Descri()","ED0_VMTIPO","P","S","SX5","1","xFilial(""SX3"")+""CD""+M->ED0_TIPOAC","","S"
"ED5_PD","001","ED0->ED0_AC","ED5_AC","P","S","ED0","1","xFilial(""ED0"")+M->ED5_PD","","S"
